City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
175,kodiak,57.79,-152.4072,280.88,93,0,2.06,US,1691159714
176,les cayes,18.2,-73.75,304.17,63,40,3.67,HT,1691160273
177,zaozersk,69.4005,32.4476,295.48,63,96,6.86,RU,1691159956
178,howrah,22.5892,88.3103,303.15,79,75,4.63,IN,1691159922
179,ghat,24.9647,10.1728,315.31,9,6,1.51,LY,1691159866
180,bengkulu,-3.8004,102.2655,298.99,92,37,4.46,ID,1691159820
181,tralee,52.2704,-9.7026,288.29,77,75,1.54,IE,1691159921
182,bubaque,11.2833,-15.8333,299.67,82,100,3.94,GW,1691159963
183,fuyuan,46.4333,127.0833,289.67,95,95,5.36,CN,1691160277
184,tazovsky,67.4667,78.7,292.66,62,3,3.47,RU,1691159845
185,mareeba,-17.0,145.4333,290.64,92,76,0.29,AU,1691160279
186,gizo,-8.103,156.8419,299.36,86,97,9.01,SB,1691160280
187,tashla,51.7716,52.7427,302.19,39,62,3.73,RU,1691160280
188,puerto armuelles,8.2833,-82.8667,300.98,70,9,1.34,PA,1691160281
189,sajir,25.1825,44.5996,313.53,7,3,5.7,SA,1691160281
190,collipulli,-37.95,-72.4333,279.45,57,11,3.33,CL,1691160282
191,sodra sandby,56.5667,16.6167,296.07,71,21,8.01,SE,1691160282
192,uray,60.1247,64.7758,294.49,81,74,2.86,RU,1691160283
193,chul'man,56.8479,124.9104,284.53,73,0,1.56,RU,1691160284
194,fort mcmurray,56.7268,-111.381,288.92,82,40,4.12,CA,1691159789
195,san antonio,29.4241,-98.4936,304.21,68,20,3.6,US,1691160069
196,aasiaat,68.7098,-52.8699,274.9,88,100,1.74,GL,1691159871
197,ishigaki,24.3448,124.1572,301.22,94,75,3.09,JP,1691160045
198,yung shue wan,22.2333,114.1167,304.58,81,95,0.45,HK,1691159909
199,pinhal novo,38.6311,-8.9138,304.62,25,0,6.69,PT,1691160033
200,ugoofaaru,5.6667,73.0,301.93,74,34,3.7,MV,1691160288
201,pisco,-13.7,-76.2167,292.18,77,100,1.03,PE,1691160288
202,hammerfest,70.6634,23.6821,290.4,94,75,1.03,NO,1691159839
203,sinop,41.7711,34.8709,298.57,56,0,2.87,TR,1691159956
204,beloyarskiy,63.7119,66.6722,299.39,49,99,3.34,RU,1691160290
205,margate,51.3813,1.3862,293.32,75,19,2.24,GB,1691160290
206,sima,53.9202,102.0442,291.49,90,100,0.55,RU,1691160291
207,kerikeri,-35.2268,173.9474,281.43,91,20,4.0,NZ,1691159862
208,tyre,33.2733,35.1939,307.9,65,0,3.5,LB,1691160292
209,marsh harbour,26.5412,-77.0636,302.0,69,32,4.57,BS,1691159735
210,phalodi,27.1333,72.3667,307.72,44,75,7.03,IN,1691160293
211,semera,11.501,41.201,310.64,21,100,4.25,ET,1691160293
212,ambikapur,23.1167,83.2,296.24,94,100,4.33,IN,1691160294
213,oberstdorf,47.4,10.2833,292.05,68,100,0.45,DE,1691160109
